"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Find and Replace","⌃F","In Windows"
"View","Zoom In","⌘=","In Windows"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"File","Properties","⌥↩","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"Text Editing","Line End","⌘→","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Window","Update Project","⌥F5","In Windows"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View"
"Window","Quick Switch Editor","⌃E","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Edit","Restore Last Selection","⌃⇧↓","Editing JavaScript Source"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"File","Refresh","F5","In Windows"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Navigate","Backward History","⌘[","In Windows"
"EMF Code Generation","Generate Code","⌥⇧G","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Source","Format","⇧⌘F","Editing Java Source"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Run/Debug","Coverage TestNG Suite","⌥⇧E G","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Window","Next View","⌘F7","In Windows"
"Edit","Rename","⌥⇧R","Editing JSP Source"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Run/Debug","Debug on Server","⌥⇧D R","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Uncategorized","Add Artifact to Target Platform","⌥⇧⌘A","In Windows"
"Run/Debug","Coverage Eclipse Application","⌥⇧E E","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Edit","Select Next Element","⌃⇧→","Editing JavaScript Source"
"Navigate","Open Declaration","F3","In Windows"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"Text Editing","Zoom In","⌘+","Editing Text"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Run/Debug","Coverage Scala Application","⌥⇧E L","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Navigate","Next","⌘.","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Edit","Select Previous Element","⌃⇧←","Editing JavaScript Source"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Run/Debug","Inspect","⇧⌘I","Chromium Debug"
"Spy","Layout Spy","⌥⇧⌘F9","In Dialogs and Windows"
"Run/Debug","Coverage TestNG Test","⌥⇧E N","In Windows"
"Server","Publish","⌥⌘P","In Servers View"
"File","New menu","⌥⌘N","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Text Editing","Zoom In","⌘=","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Coverage","⌃⇧F11","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Server","Run","⌥⌘R","In Servers View"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Views","Show View (Problems)","⌥⇧Q X","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor"
"File","Close","⌃W","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Edit","Add Block Comment","⌃/","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Uncategorized","Copy Commit Id","⌘C","In Git Reflog View"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Run/Debug","Terminate","⌘F2","Debugging"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Navigate","Activate Task","⌘F9","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Run/Debug","Coverage JUnit Plug-in Test","⌥⇧E P","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
